PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,4611147000,1579 S 9TH ST,,12,6278,Tavern,,2,1894,0,2348,1,0,0,0,1590,2008-04,90000
Vacant Land,5950841000,4600 S 6TH ST,,13,6475,Commercial Land,,0,0,0,0,1,0,0,0,104681,2008-04,620000
Lg Apartment,2740317000,3901 N HUMBOLDT BL,"28: 1-Br ,2: 2-Br ",6,6973,"Apartment: 28: 1-Br ,2: 2-Br  Units",,3,1957,0,24234,1,0,0,0,0,2008-05,1150000
Commercial,4930001000,2310 S 43RD ST,,8,6440,Fast Food Operation,,1,1985,0,2938,1,0,0,0,44280,2008-05,2510000
Commercial,5350240000,3300 S 16TH ST,,13,6284,Parking Lot,,0,0,0,0,1,0,0,0,6000,2008-05,30000
Commercial,5000408000,2661 S KINNICKINNIC AV,,14,6282,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1884,0,3564,1,0,0,0,3600,2008-05,179000
Commercial,5350237000,3320 S 16TH ST,,13,6284,"Store Bldg - Multi Story (Store & Apt, Store & O",,1,1926,0,2011,1,0,0,0,4000,2008-05,85000
Lg Apartment,3901121000,1600 W HIGHLAND AV,"50: 1-Br ,20: 2-Br ,40: 2-Br ,20: 1-Br ,10: 2-Br",4,6976,"Apartment: 50: 1-Br ,20: 2-Br ,40: 2-Br ,20: 1-B",,3,0,0,23418,1,0,0,0,0,2008-06,6300000
Commercial,5989948000,2008 W LAYTON AV,,13,6290,Beer Depot & Liquor Store,,2,1953,0,3807,1,0,0,0,11716,2008-06,420000
Commercial,5071207100,3012 S 12TH ST,,14,6284,Church,,0,1895,0,3372,1,0,0,0,4880,2008-06,130000
Commercial,3512690000,1844 W FOND DU LAC AV,,15,6256,Laundry Pick-up Station,,1,1911,0,4260,1,0,0,0,3600,2008-06,53000
Commercial,5940810000,704 E LAYTON AV,,13,6290,Office Building - 1 Story,,1,1941,0,6219,1,0,0,0,6240,2008-06,300000
Commercial,3922361000,107 E KILBOURN AV,,4,6460,Office Building - Class A,,26,1987,0,378717,1,0,0,0,26738,2008-06,53050000
Commercial,1920386000,5252 N 35TH ST,,1,6232,Office Building - Multi Story ( Ofc & Apt),,2,1964,0,3196,1,0,0,0,3600,2008-06,235000
Commercial,1529975210,8739 W LYNX AV,,2,6212,Service Building,,1,1999,0,5760,1,0,0,0,36600,2008-06,360000
Commercial,2822301000,3477 N 2ND ST,,6,6240,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1908,0,2838,1,0,0,0,3300,2008-06,90000
Commercial,4320863000,1031 W NATIONAL AV,,12,6277,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1870,0,2562,1,0,0,0,3640,2008-06,153000
Commercial,4190387000,124 N 76TH ST,,10,6272,"Store Bldg - Multi Story (Store & Apt, Store & O",,1,1915,0,2496,1,0,0,0,5520,2008-06,180000
Commercial,5350502100,1337 W OKLAHOMA AV,,14,6284,Store Building - Multiple Tenants,,1,1946,0,1328,1,0,0,0,5201,2008-06,165000
Commercial,4600101110,1300 W HISTORIC MITCHELL ST,,12,6280,"Store Building - Single tenant, 1 story",,1,1998,0,8114,1,0,0,0,30000,2008-06,1575000
Commercial,3601583000,1326 N JACKSON  ST,,4,6264,"Store Building - Single tenant, 1 story",,0,2006,0,993,1,0,0,0,993,2008-06,151000
Commercial,2149996111,9025 W APPLETON AV,,5,6418,Svs Station w Conv Store,,1,1962,0,1948,1,0,0,0,17376,2008-06,773200
Commercial,390363000,11011 W HEATHER AV,,9,6202,Warehouse Building - 1 Story,,1,2002,0,12400,1,0,0,0,104588,2008-06,750000
Commercial,5070874000,832 W OKLAHOMA AV,,14,6284,Auto & Auto Body Repair,,1,1956,0,614,1,0,0,0,7442,2008-07,80000
Commercial,5070874000,832 W OKLAHOMA AV,,14,6284,Auto & Auto Body Repair,,1,1956,0,614,1,0,0,0,7442,2008-07,135000
Commercial,7160421000,1414 W GIUFFRE CT,,13,6414,Auto Rental Agency,,1,1994,0,13926,1,0,0,0,144314,2008-07,1700000
Commercial,2500319000,6114 W CAPITOL DR,,2,6230,Office Building - Multi Story ( Ofc & Apt),,2,1965,0,17256,1,0,0,0,12000,2008-07,465000
Commercial,2920462000,7700 W BURLEIGH ST,,5,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1953,0,7232,1,0,0,0,5564,2008-07,310000
